StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
10,20,1/21/2012,0.0044,0.7645,0.2131,0.5514,0,0.0236,0.017,0.0819,0.1077,0.001,0.009,0.3779,0.2253,0.1526,0,0.0073,0.0083,0.1653,0.4315,0.0007,0.01,0,0.01,0.12,0.01,0.1,0.09,0.13,77.22,28.45,0.25,11,7.67,6.11,19,13.76,2,12,0
11,21,12/9/2011,0.0028,0.8489,0.2386,0.6103,0,0.0364,0.0251,0.0565,0.0294,0.0008,0.0113,0.6983,0.1994,0.4989,0,0.0008,0.0013,0.189,0.0966,0.0027,0,0,0,0,0,0,0.01,0,0,0,0,7.67,7.78,7.78,27,8.86,1,10,1
11,22,1/21/2012,0.0028,0.8489,0.2386,0.6103,0,0.0364,0.0251,0.0565,0.0294,0.0008,0.0113,0.6983,0.1994,0.4989,0,0.0008,0.0013,0.189,0.0966,0.0027,0.02,0.04,0,0.04,0,0,0.05,0.06,72.9,21.08,0,11,7.67,6.39,27,8.86,2,12,0
12,23,8/16/2011,0.0233,0.0367,0.0318,0.0049,0.002,0.6351,0.1033,0.1707,0,0.0289,0.0986,0.0804,0.0525,0.0279,0.0103,0.2431,0.1611,0.3596,0,0.0469,0.08,0.01,0.01,0.04,0.01,0.01,0.02,0.12,0,0,0,15.17,15.28,15,0,618.88,1,1,0
12,24,10/6/2011,0.0233,0.0367,0.0318,0.0049,0.002,0.6351,0.1033,0.1707,0,0.0289,0.0986,0.0804,0.0525,0.0279,0.0103,0.2431,0.1611,0.3596,0,0.0469,0.01,0,0,0.01,0,0.01,0.08,0.02,5.33,33.02,21.84,13.11,14.17,13.5,0,618.88,2,9,1
13,25,8/18/2011,0.0004,0.048,0.0376,0.0104,0,0.6159,0.2423,0.093,0,0.0002,0.0119,0.3948,0.2098,0.185,0.001,0.2692,0.144,0.1762,0,0.0029,0.01,0,0,0,0,0,0.01,0.01,0,0,0,19.17,20.11,19.72,102,228.52,1,2,0
14,26,10/5/2011,0,0.0211,0.0208,0.0003,0,0.8204,0.0724,0.0861,0,0,0,0.0211,0.0208,0.0003,0,0.8204,0.0724,0.0861,0,0,0.01,0,0,0,0,0,0.01,0.01,33.53,22.86,0,14.33,13.67,17.22,201,10.83,2,8,0
14,27,12/3/2012,0,0.0211,0.0208,0.0003,0,0.8204,0.0724,0.0861,0,0,0,0.0211,0.0208,0.0003,0,0.8204,0.0724,0.0861,0,0,0.03,0,0.01,0.02,0,0.01,0.01,0.05,5.84,60.96,43.43,10.78,13.72,13.22,201,10.83,2,15,0
15,28,12/3/2012,0.0044,0.0556,0.0505,0.0051,0.0041,0.8637,0.0506,0.0111,0,0.0105,0.0044,0.0556,0.0505,0.0051,0.0041,0.8637,0.0506,0.0111,0,0.0105,0.01,0,0,0,0,0,0.01,0.01,5.33,60.71,40.13,10.61,13.72,13.17,199,3.84,2,15,0
15,29,4/4/2013,0.0044,0.0556,0.0505,0.0051,0.0041,0.8637,0.0506,0.0111,0,0.0105,0.0044,0.0556,0.0505,0.0051,0.0041,0.8637,0.0506,0.0111,0,0.0105,0,0,0,0,0,0,0.01,0,21.59,0,0,14.61,12.94,12.67,199,3.84,2,19,1
16,30,8/16/2011,0.0009,0.0575,0.0542,0.0033,0.0011,0.7113,0.1238,0.102,0,0.0034,0.0263,0.1586,0.1378,0.0208,0.0041,0.7752,0.0106,0.0075,0,0.0177,0.01,0,0,0.01,0,0.01,0.01,0.02,0,0,0,18.28,18.28,18.17,17,1365.85,1,1,0
16,31,10/6/2011,0.0009,0.0575,0.0542,0.0033,0.0011,0.7113,0.1238,0.102,0,0.0034,0.0263,0.1586,0.1378,0.0208,0.0041,0.7752,0.0106,0.0075,0,0.0177,0.01,0,0,0,0,0,0.01,0.01,5.84,34.04,23.37,13.11,14.44,13.89,17,1365.85,2,9,0
17,32,12/3/2012,0.0154,0.0568,0.05,0.0068,0.0041,0.8891,0.0225,0.0078,0,0.0042,0.0154,0.0568,0.05,0.0068,0.0041,0.8891,0.0225,0.0078,0,0.0042,0,0,0.01,0.01,0,0,0.81,0.01,5.33,60.71,40.13,10.61,13.72,13.17,163,6.42,2,15,1
