StationID,SampleID,Date,HYL11,HYL2,HYL21,HYL2B,HYL31,HYL4,HYL52,HYL71,HYL8,HYL9,L11K2,L2K2,L21K2,L2BK2,L31K2,L4K2,L52K2,L71K2,L8K2,L9K2,Bird,Dog,Horse,Animal,Pig,Ruminant,Human,Nonhuman,Prep0_mm,Prep1_mm,Prep2_mm,Temp0_c,Temp1_c,Temp2_c,Elv,Flowacc,Season2,DateID,Label
38,81,2/19/2013,0.0028,0.0522,0.043,0.0092,0.0002,0.4853,0.1628,0.0898,0.2044,0.0024,0.0033,0.0895,0.0625,0.027,0.0009,0.2705,0.1247,0.1397,0.368,0.0035,0,0,0,0,0,0,0.02,0,2.54,0,0,7.17,10.61,13,38,21.44,2,16,1
39,82,12/3/2012,0.0122,0.1967,0.0909,0.1058,0.001,0.124,0.1742,0.4233,0.0677,0.001,0.0122,0.1967,0.0909,0.1058,0.001,0.124,0.1742,0.4233,0.0677,0.001,0.01,0,0.01,0.01,0,0,0.01,0.02,13.97,57.15,37.85,10.72,14,13.17,67,3.53,2,15,0
39,83,4/4/2013,0.0122,0.1967,0.0909,0.1058,0.001,0.124,0.1742,0.4233,0.0677,0.001,0.0122,0.1967,0.0909,0.1058,0.001,0.124,0.1742,0.4233,0.0677,0.001,0.02,0,0,0,0,0,0.04,0.02,16,0,1.02,15.39,13.89,12.67,67,3.53,2,19,1
40,84,1/21/2012,0.0032,0.0503,0.0418,0.0085,0.0002,0.4647,0.1644,0.0952,0.2194,0.0027,0.001,0.0841,0.0658,0.0183,0.0013,0.2295,0.1195,0.0906,0.4722,0.0018,0,0,0,0.01,0,0.01,0.01,0.01,74.93,27.69,0.76,10.83,7.94,6.44,39,37143.45,2,12,0
40,85,3/5/2012,0.0032,0.0503,0.0418,0.0085,0.0002,0.4647,0.1644,0.0952,0.2194,0.0027,0.001,0.0841,0.0658,0.0183,0.0013,0.2295,0.1195,0.0906,0.4722,0.0018,0.02,0,0,0,0,0,0.02,0.02,0,0,0,14.61,13.67,11.33,39,37143.45,1,14,0
41,86,12/3/2012,0,0.1766,0.0795,0.0971,0,0.5141,0.0299,0.2724,0.0071,0,0.0101,0.1822,0.0844,0.0978,0.0007,0.1598,0.102,0.3863,0.1581,0.0007,0.01,0,0.01,0.02,0,0.01,0.02,0.03,13.97,57.15,37.85,10.72,14,13.17,57,9.67,2,15,0
41,87,4/4/2013,0,0.1766,0.0795,0.0971,0,0.5141,0.0299,0.2724,0.0071,0,0.0101,0.1822,0.0844,0.0978,0.0007,0.1598,0.102,0.3863,0.1581,0.0007,0.01,0,0,0.05,0,0.05,0.03,0.06,16,0,1.02,15.39,13.89,12.67,57,9.67,2,19,0
42,88,8/16/2011,0.0087,0.0901,0.0526,0.0375,0.0155,0.2354,0.153,0.2022,0.2818,0.0133,0.0184,0.0715,0.0405,0.031,0.0054,0.0648,0.1901,0.206,0.4122,0.0314,0.01,0,0,0,0,0,0.01,0.01,0,0,0,20,20.22,20.28,51,218.98,1,1,0
42,89,10/6/2011,0.0087,0.0901,0.0526,0.0375,0.0155,0.2354,0.153,0.2022,0.2818,0.0133,0.0184,0.0715,0.0405,0.031,0.0054,0.0648,0.1901,0.206,0.4122,0.0314,0,0,0,0,0,0,0.01,0,6.35,28.45,20.32,12.17,13.72,13.5,51,218.98,2,9,1
43,90,8/18/2011,0.0224,0.0758,0.0522,0.0236,0.0625,0.1345,0.1161,0.1056,0.3848,0.0984,0.0163,0.1768,0.0941,0.0827,0.0406,0.145,0.0716,0.0828,0.4306,0.0364,0.01,0,0,0,0,0,0.01,0.01,0,0,0,20.5,21,20.44,63,2959.32,1,2,0
43,91,10/6/2011,0.0224,0.0758,0.0522,0.0236,0.0625,0.1345,0.1161,0.1056,0.3848,0.0984,0.0163,0.1768,0.0941,0.0827,0.0406,0.145,0.0716,0.0828,0.4306,0.0364,0,0,0,0,0,0,0.01,0,6.6,28.96,22.1,12.06,13.56,13.44,63,2959.32,2,9,1
44,92,8/18/2011,0.0045,0.0737,0.0599,0.0138,0.0007,0.3588,0.3496,0.2016,0.0103,0.0009,0.0122,0.2779,0.1371,0.1408,0.0036,0.2342,0.1479,0.1778,0.1387,0.0077,0.01,0,0,0,0,0,0.01,0.01,0,0,0,21.72,22,21.17,94,29394.85,1,2,0
44,93,10/6/2011,0.0045,0.0737,0.0599,0.0138,0.0007,0.3588,0.3496,0.2016,0.0103,0.0009,0.0122,0.2779,0.1371,0.1408,0.0036,0.2342,0.1479,0.1778,0.1387,0.0077,0.01,0,0,0.01,0,0.01,0.01,0.02,6.86,30.99,22.86,11.11,12.5,13,94,29394.85,2,9,0
45,94,8/18/2011,0.005,0.0442,0.037,0.0072,0.001,0.2552,0.3999,0.2556,0.0381,0.0009,0.0057,0.0534,0.031,0.0224,0,0.2549,0.3811,0.3047,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,22.5,22.56,21.56,123,4767.84,1,2,0
45,95,10/6/2011,0.005,0.0442,0.037,0.0072,0.001,0.2552,0.3999,0.2556,0.0381,0.0009,0.0057,0.0534,0.031,0.0224,0,0.2549,0.3811,0.3047,0,0,0,0,0,0,0,0,0.01,0,4.83,35.81,24.13,10.78,12.22,12.83,123,4767.84,2,9,1
46,96,8/16/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0.01,0,0,0,0,0,0.01,0.01,0,0,0,18.28,18.28,18.17,7,902.23,1,1,0
46,97,9/22/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,20.89,23.33,23.5,7,902.23,1,3,0
46,98,9/23/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0,0,0,0,0,0,0.01,0,0,0,0,21,20.89,23.33,7,902.23,1,4,1
46,99,9/24/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0.01,0,0,0.01,0,0.01,0.02,0.02,0,0,0,22,21,20.89,7,902.23,1,5,0
46,100,9/25/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0,0,0,0,0,0,0.01,0,0.51,0,0,16.94,22,21,7,902.23,1,6,1
46,101,9/26/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0,0,0,0.01,0,0.01,0.02,0.01,1.78,0.51,0,16.06,16.94,22,7,902.23,1,7,1
46,102,10/6/2011,0.0098,0.0876,0.0757,0.0119,0.0009,0.8074,0.0498,0.0333,0.0074,0.0038,0.0296,0.1675,0.1457,0.0218,0.0041,0.7564,0.0104,0.0087,0,0.0232,0.01,0.06,0,0.07,0,0.01,0.57,0.08,5.84,34.04,23.37,13.11,14.44,13.89,7,902.23,2,9,1
